date,open,high,low,close,volume,contract_date
2019-01-02,9760.0,9762.0,9506.0,9536.0,165922,201901
2019-01-03,9488.0,9547.0,9433.0,9440.0,130686,201901
2019-01-04,9367.0,9410.0,9305.0,9367.0,168796,201901
2019-01-07,9541.0,9588.0,9490.0,9563.0,145208,201901
2019-01-08,9600.0,9611.0,9532.0,9561.0,121996,201901
2019-01-09,9608.0,9755.0,9602.0,9708.0,161013,201901
2019-01-10,9710.0,9713.0,9673.0,9694.0,96870,201901
2019-01-11,9760.0,9803.0,9724.0,9750.0,137362,201901
2019-01-14,9738.0,9756.0,9660.0,9691.0,133304,201901
2019-01-15,9743.0,9817.0,9715.0,9793.0,158065,201901
2019-01-16,9781.0,9804.0,9755.0,9784.0,62359,201901
2019-01-17,9777.0,9834.0,9721.0,9779.0,142688,201902
2019-01-18,9825.0,9846.0,9770.0,9820.0,115290,201902
2019-01-21,9885.0,9919.0,9856.0,9866.0,119821,201902
2019-01-22,9841.0,9868.0,9822.0,9847.0,93410,201902
2019-01-23,9830.0,9860.0,9807.0,9818.0,106263,201902
2019-01-24,9833.0,9884.0,9820.0,9863.0,104491,201902
2019-01-25,9928.0,9989.0,9911.0,9968.0,116395,201902
2019-01-28,10000.0,10018.0,9975.0,9985.0,81405,201902
2019-01-29,9932.0,9936.0,9880.0,9923.0,113746,201902
2019-01-30,9925.0,9956.0,9896.0,9926.0,83963,201902
2019-02-11,10010.0,10067.0,9966.0,9999.0,101469,201902
2019-02-12,10049.0,10093.0,10029.0,10084.0,79049,201902
2019-02-13,10125.0,10128.0,10055.0,10084.0,96794,201902
2019-02-14,10044.0,10124.0,10034.0,10080.0,97857,201902
2019-02-15,10040.0,10116.0,10022.0,10042.0,121921,201902
2019-02-18,10111.0,10161.0,10098.0,10135.0,113809,201902
2019-02-19,10123.0,10158.0,10104.0,10142.0,93983,201902
2019-02-20,10183.0,10262.0,10177.0,10256.0,73350,201902
2019-02-21,10255.0,10327.0,10232.0,10324.0,97337,201903
2019-02-22,10272.0,10312.0,10245.0,10310.0,87939,201903
2019-02-25,10350.0,10378.0,10324.0,10368.0,104882,201903
2019-02-26,10381.0,10394.0,10336.0,10355.0,100522,201903
2019-02-27,10375.0,10384.0,10325.0,10362.0,83461,201903
